Company Name,Country Name
SpaceX,United States
CASC (China Aerospace Science and Technology Corporation),China
Roscosmos,Russia
ULA (United Launch Alliance),United States
JAXA (Japan Aerospace Exploration Agency),Japan
Northrop Grumman,United States
ExPace,China
IAI (Israel Aerospace Industries),Israel
Rocket Lab,New Zealand
Virgin Orbit,United States
VKS RF,Russia
MHI (Mitsubishi Heavy Industries),Japan
IRGC,Iran
Arianespace,France
ISA (Israel Space Agency),Israel
Blue Origin,United States
ISRO (Indian Space Research Organisation),India
Exos Aerospace,United States
ILS (International Launch Services),U.S.-Russian joint venture
i-Space,China
OneSpace,China
Landspace,China
Eurockot,Germany/Russia
Land Launch,Russia
CASIC,China
KCST,North Korea
Sandia,United States
Kosmotras,Russia
Khrunichev,Russia
Sea Launch,Multinational
KARI,South Korea
ESA,Multinational
NASA,United States
Boeing,United States
ISAS,Japan
SRC,Russia
MITT,Russia
Lockheed,United States
AEB,Brazil
Starsem,France/Russia
RVSN USSR,Soviet Union
EER,United States
General Dynamics,United States
Martin Marietta,United States
Yuzhmash,Ukraine
Douglas,United States
ASI,Italy
US Air Force,United States
CNES,France
CECLES,European Consortium
RAE,United Kingdom
UT,Russia
OKB-586,Soviet Union
AMBA,France
Armée de l'Air,France
US Navy,United States
